SG_UF;CO_ENTIDADE;IN_AGUA_POTAVEL;IN_AGUA_INEXISTENTE;IN_ENERGIA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_INEXISTENTE;IN_BANHEIRO;IN_COZINHA;IN_REFEITORIO;IN_QUADRA_ESPORTES;QT_SALAS_UTILIZADAS_ACESSIVEIS;QT_SALAS_UTILIZADAS;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_SALA_DIRETORIA;IN_SECRETARIA;IN_SALA_MULTIUSO;IN_SALA_LEITURA;IN_ALIMENTACAO;IN_INTERNET;IN_INTERNET_ALUNOS;MEDIA_INFRAESTRUTURA
RO;11022558;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;31.25
RO;11024666;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;43.75
RO;11024372;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;8.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;62.5
RO;11006765;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;12.0;12.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;62.5
RO;11007656;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;8.0;25.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;75.0
RO;11044462;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;17.0;27.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
AC;12009164;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;6.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;56.25
AC;12023582;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;37.5
AC;12034100;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;31.25
AC;12042820;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;8.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;43.75
AC;12034576;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;50.0
AC;12010960;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;12.0;12.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;62.5
AM;13012584;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;37.5
AM;13012592;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;31.25
AM;13012665;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;25.0
AM;13106457;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;3.0;6.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;50.0
AM;13069632;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;8.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;43.75
AM;13076906;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;11.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;68.75
RR;14000660;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;25.0
RR;14000695;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;37.5
RR;14001098;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;43.75
RR;14000792;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;25.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;81.25
RR;14000814;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;35.0;35.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;81.25
RR;14001055;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;38.0;38.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;93.75
PA;15064255;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;9.0;9.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;75.0
PA;15064280;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;10.0;25.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;75.0
PA;15064301;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;13.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;62.5
PA;15161366;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;21.0;36.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;87.5
PA;15587983;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;17.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;50.0
PA;15175391;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;50.0
AP;16001214;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;37.5
AP;16006755;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;7.0;7.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;68.75
AP;16001222;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;8.0;8.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;68.75
AP;16008200;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;6.0;11.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;87.5
AP;16010809;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;50.0
AP;16002016;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;41.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;93.75
TO;17038332;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;10.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;62.5
TO;17039282;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;50.0
TO;17049717;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;50.0
TO;17020646;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;8.0;8.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;56.25
TO;17005078;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;25.0;30.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;87.5
TO;17005213;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;3.0;10.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;75.0
MA;21088217;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;50.0
MA;21088420;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;43.75
MA;21088519;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;7.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;68.75
MA;21088527;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;50.0
MA;21090009;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;15.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;62.5
MA;21226253;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;12.0;17.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;68.75
PI;22095942;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;6.0;6.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;62.5
PI;22097236;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;50.0
PI;22098232;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;4.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;62.5
PI;22106954;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;12.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;68.75
PI;22142827;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;11.0;11.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;75.0
PI;22143220;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;62.5
CE;23168900;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;43.75
CE;23168951;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;6.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;62.5
