SG_UF;CO_ENTIDADE;IN_AGUA_POTAVEL;IN_AGUA_INEXISTENTE;IN_ENERGIA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_INEXISTENTE;IN_BANHEIRO;IN_COZINHA;IN_REFEITORIO;IN_QUADRA_ESPORTES;QT_SALAS_UTILIZADAS_ACESSIVEIS;QT_SALAS_UTILIZADAS;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_SALA_DIRETORIA;IN_SECRETARIA;IN_SALA_MULTIUSO;IN_SALA_LEITURA;IN_ALIMENTACAO;IN_INTERNET;IN_INTERNET_ALUNOS;MEDIA_INFRAESTRUTURA
RN;24084476;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;37.5
RN;24086746;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;4.0;4.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;68.75
RN;24042366;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;5.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;81.25
RN;24086304;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;5.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;50.0
PB;25129350;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;8.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;62.5
PB;25081799;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;62.5
PB;25094025;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;10.0;12.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;81.25
PB;25276930;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;12.0;16.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;75.0
PB;25088025;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;7.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;50.0
PB;25130439;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;37.5
