uf,dependencia_adm,codigo_escola,nome_escola,reprovacao_fundamental_total,reprovacao_medio_total,reprovacao_geral,evasao_fundamental_total,evasao_medio_total,evasao_geral
MT,Pública,51067390,EE PONTAL DO GLORIA,0.0,15.8,15.8,0.0,21.0,21.0
MT,Pública,51069229,ESCOLA MUNICIPAL INDIGENA WENTALUSU,0.0,Não informado,0.0,18.2,Não informado,18.2
PA,Privada,15201600,ESCOLA COMUNITARIA CASA FAMILIAR RURAL JOSE DELFINO NETO,Não informado,0.0,0.0,Não informado,29.4,29.4
PA,Privada,15170780,CENTRO EDUCACIONAL PROFESSORA LUCIANA ANDRADE - CEPLA,Não informado,0.0,0.0,Não informado,28.0,28.0
PA,Privada,15168018,CRECHE BEBE SOL,0.6,Não informado,0.6,21.5,Não informado,21.5
PA,Pública,15172619,EM INDIGENA EIF IZABEL MIQUILES,0.0,Não informado,0.0,100.0,Não informado,100.0
PA,Pública,15583457,EMEF NASCER DO SOL,0.0,Não informado,0.0,83.3,Não informado,83.3
PA,Pública,15536459,E M E F NOVO HORIZONTE,0.0,Não informado,0.0,66.7,Não informado,66.7
PB,Privada,25130439,CENTRO EDUCACIONAL ESPACO DO SABER,0.0,Não informado,0.0,38.2,Não informado,38.2
PB,Privada,25276930,UNEPI - UNIAO DE ENSINO E PESQUISA INTEGRADA LTDA,Não informado,0.0,0.0,Não informado,35.3,35.3
PB,Privada,25129350,ESCOLA POLITECNICA DE SAUDE CRISTO REI,Não informado,0.0,0.0,Não informado,22.7,22.7
PB,Pública,25088025,EEIEFM PROFESSORA ANGELITA BEZERRA DE ASSIS,8.1,0.0,8.1,13.0,40.0,40.0
PB,Pública,25094025,ECI TENENTE LUCENA,11.4,9.6,11.4,0.4,35.6,35.6
PB,Pública,25081799,ESC NOR MUL PROF¿ MARIETA MEDEIROS,Não informado,0.8,0.8,Não informado,30.0,30.0
PE,Privada,26175690,ESCOLA LAURA FIGUEIREDO,0.0,Não informado,0.0,25.0,Não informado,25.0
PE,Privada,26136639,COLEGIO UNIVERSO EDITE RIBEIRO,5.3,Não informado,5.3,21.0,Não informado,21.0
PE,Privada,26123924,ESCOLA RECREIO DA TIA MARTA,0.0,Não informado,0.0,20.5,Não informado,20.5
PE,Pública,26041570,ESCOLA TIBURCIO LIMA,11.5,0.0,11.5,0.0,38.9,38.9
PE,Pública,26147190,ESCOLA ESTADUAL ORORUBA,5.8,2.2,5.8,12.1,28.1,28.1
PE,Pública,26041634,ESCOLA ESTADUAL INDIGENA ACELINA COSME DE MOURA,15.4,1.7,15.4,2.5,25.4,25.4
PI,Privada,22176608,INSTITUTO WANDA HORTA-JS DE SOUSA MOURA LTDA,Não informado,0.0,0.0,Não informado,21.1,21.1
PI,Privada,22129995,COOP EDUCACIONAL ASSIS BRASIL,0.0,0.0,0.0,0.0,18.2,18.2
PI,Privada,22143386,BRIGHT BEE SCHOOL - BRIGHT SCHOOL,1.0,0.0,1.0,0.4,15.2,15.2
PI,Pública,22066179,U E ARSENIO SANTOS,0.0,9.1,9.1,0.0,36.4,36.4
PI,Pública,22068724,ESC MUL SILVESTRE PEREIRA DA SILVA,0.0,Não informado,0.0,33.3,Não informado,33.3
PI,Pública,22137556,U E JOAO ODORICO,Não informado,0.0,0.0,Não informado,28.4,28.4
PR,Privada,41533909,ESCOLA CRISTA DE CURITIBA E- EI EF,0.0,0.0,0.0,13.4,7.7,13.4
PR,Privada,41155734,CENTRO DE EDUCACAO PROFISSIONAL TREINE INGA,Não informado,0.4,0.4,Não informado,13.1,13.1
PR,Privada,41154185,MENNA BARRETO - CENTRO DE EDUCACAO PROFISSIONAL,Não informado,0.0,0.0,Não informado,9.8,9.8
PR,Pública,41150937,BENEDITO ROKAG C E IEF M,14.0,13.8,14.0,34.8,35.0,35.0
PR,Pública,41106369,JOAQUIM N RIBEIRO C E CEF M,0.0,2.7,2.7,0.0,21.6,21.6
PR,Pública,41074858,WENCESLAU BRAS C E C EFM,0.0,4.5,4.5,2.4,13.7,13.7
RJ,Privada,33147744,ESCOLA TECNICA ELECTRA,Não informado,1.7,1.7,Não informado,95.0,95.0
RJ,Privada,33200920,PENHA EDUCACIONAL LTDA,Não informado,0.0,0.0,Não informado,61.2,61.2
RJ,Privada,33220808,ESCOLA TECNICA ELECTRA,Não informado,1.1,1.1,Não informado,50.6,50.6
RJ,Pública,33009635,IFF - CAMPUS CAMPOS CENTRO,Não informado,0.0,0.0,Não informado,100.0,100.0
RJ,Pública,33066078,CPII - CAMPUS SAO CRISTOVAO I,0.0,Não informado,0.0,100.0,Não informado,100.0
RJ,Pública,33067872,CPII - CAMPUS TIJUCA I,0.0,Não informado,0.0,80.0,Não informado,80.0
RN,Privada,24086746,ITB - INSTITUTO TECNOLOGICO BRASILEIRO LTDA,Não informado,0.0,0.0,Não informado,33.2,33.2
RN,Privada,24086304,ESCOLA POTIGUAR DE ENFERMAGEM,Não informado,0.0,0.0,Não informado,26.9,26.9
RN,Privada,24083151,PIRAMIDE COLEGIO E CURSO,50.0,7.8,50.0,0.0,11.8,11.8
RN,Pública,24084476,NUCLEO DE ATENDIMENTO EDUCACIONAL HOSPITALAR E DOMICILIAR DO RN - NAEHD,0.0,Não informado,0.0,100.0,Não informado,100.0
RN,Pública,24042366,ESCOLA ESTADUAL PEDRO SEVERINO BEZERRA,4.5,Não informado,4.5,34.1,Não informado,34.1
RN,Pública,24057738,ESCOLA ESTADUAL DJALMA ARANHA MARINHO,11.3,12.6,12.6,3.2,33.7,33.7
RO,Privada,11046457,COLEGIO VALE DO GUAPORE,Não informado,0.0,0.0,Não informado,14.3,14.3
RO,Privada,11049294,COLEGIO EDUCAR,0.9,5.0,5.0,0.4,5.0,5.0
RO,Privada,11002662,EPEF DG SC LTDA,0.0,Não informado,0.0,3.6,Não informado,3.6
RO,Pública,11041773,EIEEF FLORESTA MAIA,8.3,Não informado,8.3,37.5,Não informado,37.5
RO,Pública,11001798,EMEF PADRE JOSE DE ANCHIETA,0.0,Não informado,0.0,34.2,Não informado,34.2
RO,Pública,11037822,EIEEFM ZAVIDIAJ XIKOV PI POHV,0.0,0.0,0.0,11.2,31.1,31.1
RR,Privada,14009757,ESCOLA ESTACIO DE EDUCACAO BASICA BOA VISTA,Não informado,0.0,0.0,Não informado,20.0,20.0
RR,Privada,14009692,ESCOLA CRISTA SHEKINAH,0.0,Não informado,0.0,2.3,Não informado,2.3
RR,Privada,14324067,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO BOA VISTA-RR,1.3,4.1,4.1,0.0,0.5,0.5
RR,Pública,14001632,ESCOLA ESTADUAL INDIGENA AGRICOLA PACHECO,1.8,0.0,1.8,1.8,45.8,45.8
RR,Pública,14005280,ESCOLA ESTADUAL PROFESSOR LEOPOLDO CAMPELO,13.7,4.3,13.7,7.9,39.2,39.2
RR,Pública,14000555,ESCOLA ESTADUAL PROFESSORA MARIA DAS DORES BRASIL,29.0,14.4,29.0,6.5,30.0,30.0
RS,Privada,43077218,EEP SENAC MONTENEGRO,Não informado,0.0,0.0,Não informado,42.4,42.4
RS,Privada,43178294,ESCOLA TECNICA FACTUM,Não informado,5.3,5.3,Não informado,20.3,20.3
RS,Privada,43176380,ESCOLA TECNICA SUL ENSINO,Não informado,0.0,0.0,Não informado,20.0,20.0
RS,Pública,43207995,ESC EST ENS MED BENTO GONCALVES,0.0,0.0,0.0,100.0,5.0,100.0
RS,Pública,43117538,ESC EST ENS FUN SAO FRANCISCO DE ASSIS,0.0,Não informado,0.0,50.0,Não informado,50.0
RS,Pública,43182143,INST ESTADUAL PARQUE DO TRABALHADOR,23.3,9.9,23.3,9.3,39.8,39.8
SC,Privada,42159946,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL,Não informado,0.0,0.0,Não informado,92.5,92.5
SC,Privada,42163030,CENTRO DE FORMACAO EDUCACIONAL,0.0,Não informado,0.0,20.6,Não informado,20.6
