uf,codigo_escola,nome_escola,dependencia_adm,reprovacao_fundamental_total,reprovacao_medio_total,evasao_fundamental_total,evasao_medio_total
RO,11042842,EIEEF DIDIMO GRACILIANO DE OLIVEIRA,Pública,0,,2.8,
RO,11042850,EIEEF NAWACAM ORO WARAM XIJEIN,Pública,0,,6.5,
RO,11043458,EMEIEF PROF¿ MARIA LIBERTY DE FREITAS,Pública,5,,0,
RO,11043482,EIEEF HWEREIN CAT TOWA ORO NAO,Pública,0,,0,
RO,11043490,EIEEF WEM CANUM ORO WARAM,Pública,6.7,,3.3,
RO,11044829,CENTRO EDUCACIONAL MUNDO ENCANTADO,Privada,1.6,,1.7,
RO,11046805,CENTRO EDUCACIONAL NOVO MILENIO,Privada,0,,0,
RO,11048891,EIEEF MARINA AIKOM ORO WIM,Pública,0,,0,
RO,11048921,EIEEF CO UM ORO WARAM,Pública,0,,0,
RO,11048930,EIEEF MBIXIRE TAXO MACURAP,Pública,1.7,,13.3,
RO,11048948,EIEEF PAKUIA,Pública,0,,0,
RO,11049642,EIEEF MAMXUN TAMANAIN ORO NAO,Pública,0,,0,
RO,11049960,IFRO - CAMPUS GUAJARA-MIRIM,Pública,,5.1,,0
RO,11050667,EIEEF ORO WAO YEIN ORO NAO,Pública,0,,0,
RO,11050675,EIEEF ORO WAO PO WA ORO NAO,Pública,0,,7.7,
RO,11050683,EIEEF JOAO JABUTI,Pública,11.1,,0,
RO,11051086,CENTRO EDUCACIONAL INOVACAO,Privada,0,,0,
RO,11066806,EIEEF XIJAN ORO NAO,Pública,0,,0,
RO,11067810,EIEEF VALDEMAR CABIXI,Pública,0,,4.8,
RO,11068809,EIEEF JOSE DOS SANTOS,Pública,0,,0,
RO,11089806,EEEF SALOMAO JUSTINIANO DE MELGAR,Pública,0,0,0,0
RO,11090804,EIEEF WATACAO ORO NAO MIXIC,Pública,0,,5.6,
RO,11091800,EIEEF LEONEL BUANGA CANOE,Pública,,,,
RO,11011203,EMEIEF BEATRIZ MIREYA,Pública,0,,0,
RO,11011270,EMEF ABRAO ROCHA,Pública,0,,0,
RO,11011335,EMEF ALDEMIR LIMA CANTANHEDE,Pública,0,,0,
RO,11011491,EEEMTI CAPITAO SILVIO DE FARIAS,Pública,4.1,4.1,0,2.7
RO,11011661,EEEFM PROF DAYSE MARA DE OLIVEIRA MARTINS,Pública,1.1,1.6,2.1,4.5
RO,11011998,EMEF JEAN CARLOS MUNIZ,Pública,0,,0,
RO,11012099,EEEFM GOV JORGE TEIXEIRA DE OLIVEIRA,Pública,6.3,3.6,1.4,8.9
RO,11012145,EEEFM JOSUE MONTELLO,Pública,0,2.6,0,0
RO,11012170,EMEIEF JUSCELINO KUBITSCHEK,Pública,0,,0,
RO,11012269,EMEIEF MARECHAL CORDEIRO DE FARIAS,Pública,0,,0,
RO,11012277,EEEFM MARECHAL COSTA E SILVA,Pública,1.7,6,1.2,2
RO,11012323,EMEF MARIA DE LOURDES DA SILVA,Pública,0,,0,
RO,11012382,EEEF NILTON OLIVEIRA DE ARAUJO,Pública,0,,1,
RO,11012447,EEEFM OLGA DELLAIA,Pública,1.6,4.2,0.3,4.1
RO,11012579,EEEFM PEDRO VIEIRA DE MELO,Pública,1.8,7.3,3.1,4.7
RO,11012684,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XIII,Pública,3.3,2.3,0.2,1.5
RO,11012994,EEEFM PLACIDO DE CASTRO,Pública,5.1,7.1,0.6,3.3
RO,11040076,COOPERATIVA DE PROFISSIONAIS EM EDUCACAO,Privada,1.5,1.3,0,0
RO,11043318,EEIEF PADRE ADOLFO KOLPING,Privada,0,,0,
RO,11043687,EMEI PATO DONALD,Pública,0,,0,
RO,11043709,EMEF MENEZIO DE VICTO,Pública,0,,0,
RO,11045469,ESCOLA ADVENTISTA DE JARU,Privada,1.7,,0,
RO,11046260,EMEIEF DJARU UARU,Pública,1.4,,0,
RO,11046279,EMEIEF JOSE DE SOUZA SILVA,Pública,0,,0,
RO,11046910,EMEIEF MARIA GOMES DA COSTA GONCALVES,Pública,0,,0,
RO,11049014,ESCOLA FAMILIA AGRICOLA DOM ANTONIO POSSAMAI,Privada,,1.1,,0
RO,11049057,EIEEF JAVEVYRA,Pública,0,,0,
RO,11050322,IFRO - CAMPUS JARU,Pública,,1.6,,0
RO,11013133,ESCOLA ADVENTISTA DE JI-PARANA,Privada,0.4,,0,
RO,11013273,EEEF SILVIO MICHELUZZI,Pública,0.8,,0,
RO,11013311,EEEF 13 DE MAIO,Pública,3.7,,0,
RO,11013389,EEEFM 31 DE MARCO,Pública,0.5,,0.5,
RO,11013419,EMEIEF ADAO VALDIR LAMOTA,Pública,6.7,,0,
RO,11013494,EEEFM ANTONIO BIANCO,Pública,0.6,,3.7,
RO,11013508,EMEIEF ANTONIO PRADO,Pública,0,,0,
RO,11013591,EEEFM BEATRIZ FERREIRA DA SILVA,Pública,1.3,,0,
RO,11013737,COLEGIO ADVENTISTA DE JI-PARANA,Privada,1.2,2,0,0
RO,11013818,EEEF CORA CORALINA,Pública,0.6,,0,
RO,11013907,EEEF DR LOURENCO PEREIRA LIMA,Pública,0.5,,0,
RO,11014016,EPEF GIRASSOL,Privada,0,,0,
RO,11014075,EEEF INACIO DE LOYOLA,Pública,0,,0,
RO,11014148,EMEIEF JANDINEI CELLA,Pública,0.3,,0,
RO,11014156,EEEFM JANETE CLAIR,Pública,0.2,0.4,0,0
RO,11014172,EEEF JARDIM DOS MIGRANTES,Pública,1.1,,1.1,
RO,11014300,EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA,Pública,0.4,0.3,0.8,20.6
RO,11014431,EEEFM MARCOS BISPO DA SILVA,Pública,0.3,3.6,0,0
RO,11014547,EMEF NOVA ALIANCA,Pública,1.9,,0,
RO,11014555,EEEFM NOVA BRASILIA,Pública,0.3,,0.4,
RO,11014636,EEEF OSWALDO PIANNA,Pública,1,,0,
RO,11014741,EMEF PEROLA,Pública,8.7,,0,
RO,11014806,EEEF PROFESSORA CARMEM ROCHA BORGES,Pública,3.3,,0,
RO,11014830,EEEFM PROFESSORA EDILCE DOS SANTOS FREITAS,Pública,5.4,,2.1,
RO,11015144,EEEFM RIO URUPA,Pública,1.8,,0,
RO,11015357,EEEF SAO PEDRO,Pública,0,,0,
RO,11015411,EEEF TANCREDO DE ALMEIDA NEVES,Pública,0,,0,
RO,11015500,EEEFM TUPA,Pública,1.6,0,0,1
RO,11015608,EEEFM ALUIZIO FERREIRA,Pública,5,13.8,0,0
RO,11015616,EEEFM CEL JORGE TEIXEIRA DE OLIVEIRA,Pública,0,2.2,0,0
RO,11015624,EEEFM GONCALVES DIAS,Pública,3.2,7.7,0,0
RO,11015632,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IV,Pública,1.9,7.6,0.3,1.1
RO,11015667,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM VI,Pública,0.2,3.9,0.1,0.3
RO,11015683,EEEFM PROF JOSE FRANCISCO DOS SANTOS,Pública,5.2,17.9,0.4,7.6
RO,11015896,ESCOLA FAMILIA AGRICOLA ITAPIREMA,Privada,,9.4,,2.1
RO,11016019,EEEF SAO FRANCISCO,Pública,0,,0,
RO,11016094,IEE MARECHAL RONDON,Pública,2.1,1.3,0.2,0
RO,11037660,COLEGIO UNIAO,Privada,0.4,0,0.3,3.5
RO,11037695,EMEIEF JAMIL VILAS BOAS,Pública,1.7,,0,
RO,11037822,EIEEFM ZAVIDIAJ XIKOV PI POHV,Pública,0,0,11.2,31.1
RO,11037857,EIEEF MAHAGUVELY,Pública,0,,5.6,
RO,11037890,EIEEF XINEPUABA,Pública,0,,2.7,
RO,11037989,EIEEF MALOJ KAR,Pública,0,,0,
RO,11037997,EIEEF PAY GAP,Pública,0,,17.4,
RO,11038020,EIEEF PASSAV KAR,Pública,0,,0,
RO,11038055,EIEEFM ITARAP YAMORATXI,Pública,0,0,18.3,15.4
RO,11040041,CMEIEF PARQUE DOS PIONEIROS,Pública,3.6,,0,
RO,11042990,CMEIEF RUTH ROCHA,Pública,0,,0.1,
RO,11043849,EMEIEF PROFESSOR EDSON LOPES,Pública,7,,0,
RO,11044101,EMEIEF TUPI,Pública,1.5,,0,
RO,11044845,EMEIEF PROFESSOR CELSO AUGUSTO ROCCO,Pública,1.3,,0,
RO,11044853,EMEIEF ULISSES MATOSINHO PERES DE PONTES,Pública,0.5,,0,
RO,11044861,EMEIEF PROF ALMIR ZANDONADI,Pública,2.2,,0,
RO,11045663,EMEIEF PAULO FREIRE,Pública,10,,0,
RO,11045698,EMEIEF PROF IRINEU ANTONIO DRESCH,Pública,3.3,,0.6,
RO,11045728,EIEEF PASSAV ADOH,Pública,0,,0,
RO,11046414,CMEIEF PROFESSORA MARIA ANTONIA,Pública,1.7,,0,
RO,11047208,EEEMTI JOVEM GONCALVES VILELA,Pública,,9,,3.5
RO,11047526,ACONCHEGO CENTRO DE EDUCACAO INFANTIL,Privada,0,,0,
RO,11047658,CMEIEF MENINO JESUS,Pública,0.4,,0,
RO,11048735,EIEEF MANOEL CACHOEIRA,Pública,0,,0,
RO,11048743,EIEEF BEKAA,Pública,0,,0,
RO,11048778,EMEIEF BARBARA HELIODORA,Pública,0,,0,
RO,11049294,COLEGIO EDUCAR,Privada,0.9,5,0.4,5
RO,11049634,EEEMTI PROFESSOR ALEJANDRO YAGUE MAYOR,Pública,,1.8,,0
RO,11050314,SMART START ESCOLA BILINGUE,Privada,0,,0,
RO,11050462,EMEF MOISES UMBELINO GOMES,Pública,0,,0.3,
RO,11050829,EMEIEF PROFESSORA DINALMIR FERREIRA BARROS DE LISBOA,Pública,4.6,,0,
RO,11050985,EEEFM SAO DOMINGOS SAVIO- UNIDADE II,Pública,,100,,0
RO,11051000,CLARETIANO COLEGIO JI-PARANA,Privada,0,0,0,0
RO,11051043,MAPLE BEAR JI-PARANA,Privada,0,,0,
RO,11051051,COLEGIO NORTEADOR,Privada,0,,0,
RO,11106808,IFRO - CAMPUS JI-PARANA,Pública,,5.9,,0
RO,11008008,EEEFM ALBERTO NEPOMUCENO,Pública,0.2,0,1.1,15.7
RO,11008148,EMEIEF BOM FUTURO,Pública,6.8,,0,
RO,11008598,EMEF JOVINA DE CARVALHO RIBEIRO,Pública,9.7,,0.5,
RO,11008806,EMEIEFR PADRE ANGELO CERRI,Pública,0,,0,
